mine_cluster_mini,shapeGroup_primary_admin0,commodity_mineral__1,commodity_mineral__2,commodity_mineral__3,commodity_mineral__4,commodity_mineral__5,commodity_mineral__6,commodity_mineral__7,commodity_mineral__8,commodity_mineral__9,commodity_mineral__10,commodity_mineral__11,commodity_mineral__12,commodity_mineral__13,commodity_mineral__14,commodity_mineral__15,process_binary,mine_output_approx_copper,export_country_code,import_country_code,export_continent,export_landlocked,import_continent,import_landlocked,trade_value_thousandUSD,trade_quantity_tons,trade_quantity_tons_fraction,mine_output_tons,mine_output_thousandUSD,destination_id,mine_processed_quantity_tons_fraction
mine_1740,ZAF,Copper,Silver,,,,,,,,,,,,,,0.0,26965.259850356822,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,106.46227408821368,84.46352038647991,mine_3749,0.14561284414552253
mine_1740,ZAF,Copper,Silver,,,,,,,,,,,,,,0.0,26965.259850356822,ZAF,MOZ,Africa,0,Africa,0,43084.824,33491.38,0.22224531182324306,,,,
mine_1740,ZAF,Copper,Silver,,,,,,,,,,,,,,0.0,26965.259850356822,ZAF,NAM,Africa,0,Africa,0,3.123,2.895,1.9210918682009782e-05,0.5180274142244682,0.5588254281944781,mine_3502,1.0
mine_1740,ZAF,Copper,Silver,,,,,,,,,,,,,,0.0,26965.259850356822,ZAF,SWZ,Africa,0,Africa,1,0.574,1.0,6.63589591779267e-06,,,,
mine_1740,ZAF,Copper,Silver,,,,,,,,,,,,,,0.0,26965.259850356822,ZAF,TZA,Africa,0,Africa,0,0.001,0.0012492032477519,8.28958273225018e-09,,,,
mine_1740,ZAF,Copper,Silver,,,,,,,,,,,,,,0.0,26965.259850356822,ZAF,ZWE,Africa,0,Africa,1,0.143,0.011,7.299485509571937e-08,,,,
mine_1741,ZAF,Copper,,,,,,,,,,,,,,,0.0,19089.008177035637,ZAF,BWA,Africa,0,Africa,1,10.364,4.168,2.7658414185359853e-05,,,,
mine_1741,ZAF,Copper,,,,,,,,,,,,,,,0.0,19089.008177035637,ZAF,CIV,Africa,0,Africa,0,0.092,0.001,6.6358959177926704e-09,,,,
mine_1741,ZAF,Copper,,,,,,,,,,,,,,,0.0,19089.008177035637,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,3.601615850003337,2.8573986078764797,mine_3553,0.0069586113426095214
mine_1741,ZAF,Copper,,,,,,,,,,,,,,,0.0,19089.008177035637,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,102.64081857595603,81.4317085232639,mine_3555,0.19831031239956143
mine_1741,ZAF,Copper,,,,,,,,,,,,,,,0.0,19089.008177035637,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,13.26264292331985,10.522126457718104,mine_3559,0.025624492262023978
mine_1741,ZAF,Copper,,,,,,,,,,,,,,,0.0,19089.008177035637,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,27.88855880115274,22.125826965699673,mine_3575,0.05388293746057183
mine_1741,ZAF,Copper,,,,,,,,,,,,,,,0.0,19089.008177035637,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,24.757577421128847,19.641813620256638,mine_3664,0.04783362974650419
mine_1741,ZAF,Copper,,,,,,,,,,,,,,,0.0,19089.008177035637,ZAF,COD,Africa,0,Africa,0,3241.644,4085.939,0.027113865930449864,15.280449299240752,12.122984897275261,mine_3670,0.029523056384197083
