mine_cluster_mini,shapeGroup_primary_admin0,commodity_mineral__1,commodity_mineral__2,commodity_mineral__3,commodity_mineral__4,commodity_mineral__5,commodity_mineral__6,commodity_mineral__7,commodity_mineral__8,commodity_mineral__9,commodity_mineral__10,commodity_mineral__11,commodity_mineral__12,commodity_mineral__13,commodity_mineral__14,commodity_mineral__15,process_binary,mine_output_approx_copper,export_country_code,import_country_code,export_continent,export_landlocked,import_continent,import_landlocked,trade_value_thousandUSD,trade_quantity_tons,trade_quantity_tons_fraction,mine_output_tons,mine_output_thousandUSD
mine_3575,COD,Copper,Cobalt,,,,,,,,,,,,,,1.0,117408.24380066518,COD,ARE,Africa,0,Asia,0,954340.499,104766.0,0.09772988767633839,11474.29447891516,104522.30607907947
mine_3575,COD,Copper,Cobalt,,,,,,,,,,,,,,1.0,117408.24380066518,COD,BRA,Africa,0,South America,0,8250.28,980.756,0.0009148881671333728,107.41541297713874,903.5960354838801
mine_3575,COD,Copper,Cobalt,,,,,,,,,,,,,,1.0,117408.24380066518,COD,CAN,Africa,0,North America,0,195542.409,21334.183,0.01990137361602474,2336.5853254783583,21416.40593305529
mine_3575,COD,Copper,Cobalt,,,,,,,,,,,,,,1.0,117408.24380066518,COD,CHN,Africa,0,Asia,0,5516444.808,606944.867,0.5661822888879994,66474.46820938088,604177.9986224025
mine_3575,COD,Copper,Cobalt,,,,,,,,,,,,,,1.0,117408.24380066518,COD,DEU,Africa,0,Europe,0,114395.303,12769.266,0.011911678711502652,1398.5292782352967,12528.925353900378
mine_3575,COD,Copper,Cobalt,,,,,,,,,,,,,,1.0,117408.24380066518,COD,ESP,Africa,0,Europe,0,325029.976,36132.265,0.03370561250731815,3957.3167707099587,35598.28244944665
mine_3575,COD,Copper,Cobalt,,,,,,,,,,,,,,1.0,117408.24380066518,COD,FRA,Africa,0,Europe,0,121376.962,13401.8,0.012501731560437086,1467.8063469782678,13293.578116412724
mine_3575,COD,Copper,Cobalt,,,,,,,,,,,,,,1.0,117408.24380066518,COD,IDN,Africa,0,Asia,0,17383.361,1816.03,0.0016940649439404082,198.89718995231564,1903.879151130034
mine_3575,COD,Copper,Cobalt,,,,,,,,,,,,,,1.0,117408.24380066518,COD,ITA,Africa,0,Europe,0,479245.295,52276.7,0.048765782974339374,5725.504936581564,52488.41840353328
mine_3575,COD,Copper,Cobalt,,,,,,,,,,,,,,1.0,117408.24380066518,COD,JPN,Africa,0,Asia,0,15347.342,1769.94,0.0016510703605545538,193.8492714240412,1680.888089424267
mine_3575,COD,Copper,Cobalt,,,,,,,,,,,,,,1.0,117408.24380066518,COD,KOR,Africa,0,Asia,0,780260.961,87417.36,0.08154638693623921,9574.218078473352,85456.57977698241
mine_3575,COD,Copper,Cobalt,,,,,,,,,,,,,,1.0,117408.24380066518,COD,MYS,Africa,0,Asia,0,1137.016,125.738,0.00011729340259862396,13.771212408508816,124.5294886818071
mine_3575,COD,Copper,Cobalt,,,,,,,,,,,,,,1.0,117408.24380066518,COD,NLD,Africa,0,Europe,0,46659.439,5013.631,0.004676914213395646,549.1082842011522,5110.285238598198
mine_3575,COD,Copper,Cobalt,,,,,,,,,,,,,,1.0,117408.24380066518,COD,SAU,Africa,0,Asia,0,581923.535,64622.5,0.060282435774623236,7077.654916324906,63734.0549873174
mine_3575,COD,Copper,Cobalt,,,,,,,,,,,,,,1.0,117408.24380066518,COD,THA,Africa,0,Asia,0,242486.742,27427.665,0.02558561575009295,3003.962211777052,26557.89363859196
mine_3575,COD,Copper,Cobalt,,,,,,,,,,,,,,1.0,117408.24380066518,COD,TWN,Africa,0,Asia,0,52300.841,5751.067,0.005364823816210377,629.874542561243,5728.148933135938
mine_3575,COD,Copper,Cobalt,,,,,,,,,,,,,,1.0,117408.24380066518,COD,USA,Africa,0,North America,0,211674.323,22226.826,0.020734066475588626,2434.350331745108,23183.22276050441
mine_3575,COD,Copper,Cobalt,,,,,,,,,,,,,,1.0,117408.24380066518,COD,ZAF,Africa,0,Africa,0,67227.472,7218.551,0.00673375120187771,790.5979028030804,7362.959460139965
mine_3575,COD,Copper,Cobalt,,,,,,,,,,,,,,1.0,117408.24380066518,COD,ZMB,Africa,0,Africa,1,4.611,0.357,3.3302378539271144e-07,0.039099737786807864,0.50501089897751
mine_3586,ZMB,Copper,,,,,,,,,,,,,,,1.0,2419.44146431808,ZMB,ARE,Africa,1,Asia,0,77956.538,8794.04,0.009034025889421872,21.8572968265903,193.75840803991863
mine_3586,ZMB,Copper,,,,,,,,,,,,,,,1.0,2419.44146431808,ZMB,AUS,Africa,1,Oceania,0,8187.213,879.22,0.0009032135676546272,2.1852723567182686,20.349048301294836
mine_3586,ZMB,Copper,,,,,,,,,,,,,,,1.0,2419.44146431808,ZMB,CAN,Africa,1,North America,0,105098.643,12064.18,0.012393406722580925,29.985122108770728,261.2192162103932
mine_3586,ZMB,Copper,,,,,,,,,,,,,,,1.0,2419.44146431808,ZMB,CHE,Africa,1,Europe,1,4459202.51,468979.037,0.481777290284572,1165.6319526813015,11083.200994189983
mine_3586,ZMB,Copper,,,,,,,,,,,,,,,1.0,2419.44146431808,ZMB,CHN,Africa,1,Asia,0,1920899.636,221960.25100000002,0.22801745886493316,551.6748945662614,4774.332788813929
mine_3586,ZMB,Copper,,,,,,,,,,,,,,,1.0,2419.44146431808,ZMB,DEU,Africa,1,Europe,0,44181.983,4696.977,0.004825155653149072,11.674181659017652,109.81286380530067
mine_3586,ZMB,Copper,,,,,,,,,,,,,,,1.0,2419.44146431808,ZMB,ESP,Africa,1,Europe,0,22066.573,2387.022,0.0024521628906190524,5.932864574825816,54.84574052501729
mine_3586,ZMB,Copper,,,,,,,,,,,,,,,1.0,2419.44146431808,ZMB,GRC,Africa,1,Europe,0,42019.315,4611.926,0.00473778364484331,11.462790199301946,104.43762370935293
mine_3586,ZMB,Copper,,,,,,,,,,,,,,,1.0,2419.44146431808,ZMB,HKG,Africa,1,Asia,0,97971.678,10998.322,0.011298461877384926,27.335967149162187,243.50537939844784
mine_3586,ZMB,Copper,,,,,,,,,,,,,,,1.0,2419.44146431808,ZMB,IND,Africa,1,Asia,0,1.023,0.046,4.725532188998527e-08,0.00011433148519032817,0.002542632811950124
