mine_cluster_mini,shapeGroup_primary_admin0,commodity_mineral__1,commodity_mineral__2,commodity_mineral__3,commodity_mineral__4,commodity_mineral__5,commodity_mineral__6,commodity_mineral__7,commodity_mineral__8,commodity_mineral__9,commodity_mineral__10,commodity_mineral__11,commodity_mineral__12,commodity_mineral__13,commodity_mineral__14,commodity_mineral__15,process_binary,mine_output_approx_copper,export_country_code,import_country_code,export_continent,export_landlocked,import_continent,import_landlocked,trade_value_thousandUSD,trade_quantity_tons,trade_quantity_tons_fraction,mine_output_approx_copper_export,id,iso3
mine_2263,ZAF,Platinum,Palladium,Nickel,Copper,Cobalt,Chromite,,,,,,,,,,1.0,57859.85357291268,ZAF,AUS,Africa,0,Oceania,0,3812.75,1083.634,0.00674410300344394,390.212812259907,port955_land,AUS
mine_2263,ZAF,Platinum,Palladium,Nickel,Copper,Cobalt,Chromite,,,,,,,,,,1.0,57859.85357291268,ZAF,BEL,Africa,0,Europe,0,2060.017,199.683,0.0012427468315286308,71.90514970044777,port57_land,BEL
mine_2263,ZAF,Platinum,Palladium,Nickel,Copper,Cobalt,Chromite,,,,,,,,,,1.0,57859.85357291268,ZAF,BGR,Africa,0,Europe,0,7302.187,803.723,0.0050020493065342855,289.41784044056317,port1355_land,BGR
mine_2263,ZAF,Platinum,Palladium,Nickel,Copper,Cobalt,Chromite,,,,,,,,,,1.0,57859.85357291268,ZAF,CHE,Africa,0,Europe,1,3400.459,360.0,0.002240495482090649,129.63474052453736,port1114_land,CHE
mine_2263,ZAF,Platinum,Palladium,Nickel,Copper,Cobalt,Chromite,,,,,,,,,,1.0,57859.85357291268,ZAF,CHN,Africa,0,Asia,0,449269.681,58789.134999999995,0.3658799760097701,21169.761837186103,port1195_land,CHN
mine_2263,ZAF,Platinum,Palladium,Nickel,Copper,Cobalt,Chromite,,,,,,,,,,1.0,57859.85357291268,ZAF,DEU,Africa,0,Europe,0,7412.540000000001,912.553,0.005679363537967412,328.60714269413376,port446_land,DEU
mine_2263,ZAF,Platinum,Palladium,Nickel,Copper,Cobalt,Chromite,,,,,,,,,,1.0,57859.85357291268,ZAF,ESP,Africa,0,Europe,0,10584.218,1470.463,0.009151571411337394,529.5085818220355,port635_land,ESP
mine_2263,ZAF,Platinum,Palladium,Nickel,Copper,Cobalt,Chromite,,,,,,,,,,1.0,57859.85357291268,ZAF,GBR,Africa,0,Europe,0,223.893,22.344,0.00013906008625509295,8.045996228556286,port493_land,GBR
mine_2263,ZAF,Platinum,Palladium,Nickel,Copper,Cobalt,Chromite,,,,,,,,,,1.0,57859.85357291268,ZAF,IND,Africa,0,Asia,0,698217.646,78901.706,0.49105254395067965,28412.228289592593,port1367_land,IND
mine_2263,ZAF,Platinum,Palladium,Nickel,Copper,Cobalt,Chromite,,,,,,,,,,1.0,57859.85357291268,ZAF,ITA,Africa,0,Europe,0,61588.176,5530.358,0.034418728092621885,1991.4625676049984,port1004_land,ITA
