origin_id,destination_id,reference_mineral,process_binary,export_country_code,import_country_code,export_continent,import_continent,mine_output_tons,mine_output_thousandUSD
mine_2142,port1406_land,copper,0.0,ZAF,TUR,Africa,Asia,0.0003317817822744255,0.0024699310458207234
mine_2142,port541_land,copper,0.0,ZAF,TWN,Africa,Asia,38.453950941315625,45.95607157585627
mine_2142,port812_land,copper,0.0,ZAF,USA,Africa,North America,0.004976726734116384,0.00036864642474936175
mine_2842,port955_land,copper,0.0,ZAF,AUS,Africa,Oceania,75.7197659482818,277.7145158951673
mine_2842,port446_land,copper,0.0,ZAF,AUT,Africa,Europe,2.7769595084964998,1.078752911532535
mine_2842,port1355_land,copper,0.0,ZAF,BGR,Africa,Europe,10.313006551899957,27.86056380800038
mine_2842,port506_land,copper,0.0,ZAF,BRA,Africa,South America,0.002846640312671903,0.006559649416156993
mine_2842,port1350_land,copper,0.0,ZAF,CAN,Africa,North America,0.0004950678804646788,0.0060645815356923155
mine_2842,port1195_land,copper,0.0,ZAF,CHN,Africa,Asia,12437.940250138643,25303.70009259722
mine_2842,port446_land,copper,0.0,ZAF,DEU,Africa,Europe,0.00037130091034850906,0.0017327375816263758
mine_2842,port635_land,copper,0.0,ZAF,ESP,Africa,Europe,0.013614366712778667,0.18961099821797198
mine_2842,port586_land,copper,0.0,ZAF,FIN,Africa,Europe,0.003217941223020412,0.009282522758712726
mine_2842,port493_land,copper,0.0,ZAF,GBR,Africa,Europe,0.09455796516875366,0.11473198129768933
mine_2842,port1016_land,copper,0.0,ZAF,GEO,Africa,Europe,64.66824188569866,60.587397347028315
mine_2842,port535_land,copper,0.0,ZAF,KHM,Africa,Asia,994.0169693452306,457.3927196934363
mine_2842,port672_land,copper,0.0,ZAF,MYS,Africa,Asia,155.50020241910502,59.60320240066454
mine_2842,port1114_land,copper,0.0,ZAF,NLD,Africa,Europe,0.008663687908131879,0.3147394050054195
mine_2842,port1095_land,copper,0.0,ZAF,RUS,Africa,Europe,0.0009901357609293576,0.24976174569443038
mine_2842,port1406_land,copper,0.0,ZAF,TUR,Africa,Asia,0.002227805462091054,0.016584773995566737
mine_2842,port541_land,copper,0.0,ZAF,TWN,Africa,Asia,258.205623463636,308.5798942036481
mine_2842,port812_land,copper,0.0,ZAF,USA,Africa,North America,0.03341708193136582,0.002475339402323394
mine_2852,port955_land,copper,0.0,ZAF,AUS,Africa,Oceania,21.52341805317768,78.94062468616465
mine_2852,port446_land,copper,0.0,ZAF,AUT,Africa,Europe,0.7893534755369016,0.3066365776520762
mine_2852,port1355_land,copper,0.0,ZAF,BGR,Africa,Europe,2.9314822704723382,7.919392704494105
mine_2852,port506_land,copper,0.0,ZAF,BRA,Africa,South America,0.0008091603127578881,0.0018645868076594813
mine_2852,port1350_land,copper,0.0,ZAF,CAN,Africa,North America,0.00014072353265354574,0.0017238632750059353
mine_2852,port1195_land,copper,0.0,ZAF,CHN,Africa,Asia,3535.4967672117327,7192.601674933717
mine_2852,port446_land,copper,0.0,ZAF,DEU,Africa,Europe,0.00010554264949015931,0.0004925323642874102
mine_2852,port635_land,copper,0.0,ZAF,ESP,Africa,Europe,0.003869897147972508,0.05389711300630803
mine_2852,port586_land,copper,0.0,ZAF,FIN,Africa,Europe,0.0009147029622480473,0.0026385662372539823
mine_2852,port493_land,copper,0.0,ZAF,GBR,Africa,Europe,0.026878194736827243,0.032612678692459235
mine_2852,port1016_land,copper,0.0,ZAF,GEO,Africa,Europe,18.382011452869417,17.22202737320624
mine_2852,port535_land,copper,0.0,ZAF,KHM,Africa,Asia,282.55030262221214,130.01433109507826
mine_2852,port672_land,copper,0.0,ZAF,MYS,Africa,Asia,44.201085702062905,16.942268990290987
mine_2852,port1114_land,copper,0.0,ZAF,NLD,Africa,Europe,0.002462661821437051,0.08946498588449171
mine_2852,port1095_land,copper,0.0,ZAF,RUS,Africa,Europe,0.0002814470653070915,0.07099502222371382
mine_2852,port1406_land,copper,0.0,ZAF,TUR,Africa,Asia,0.0006332558969409557,0.004714238343893782
mine_2852,port541_land,copper,0.0,ZAF,TWN,Africa,Asia,73.39520279665271,87.71413887209945
